count	before	after	example
8	hlophisitsoeng	hlophisitsweng	: ea 'nete, e fanoeng ke Molimo, e hlophisitsoeng bakeng sa morero. Empa en
8	khanya	kganya	khanya lefifing
8	lengoang	lengwang	tšimo e sa lengoang
8	mehloling	mehloding	a tse ntseng li sa hlahlojoa ka botlalo mehloling ea hau: khaolo ea Vorster ea
8	little	dittle	too much speaking and too little loving God
8	lipuisano	dipuisano	a ikutloe a ratoa, e seng a fenngoa ka lipuisano?
8	Litebeliso	Ditebediso	, sebelisa teko ea nnete (Thuto 30–33). Litebeliso tse peli li boloka tloaelo e
7	Utloa	Utlwa	Thuto ea 1 · Ho Utloa Lentsoe la Molimo
7	bolaea	bolaya	ama, le tla shoa; empa haeba ka Moya le bolaea liketso tsa 'mele, le tla phela.
7	khaotse	kgaotse	leng tseo A buang ka tsona, e le hore u khaotse ho leta 'me u qale ho hlokomela.
7	tšoana	tshwana	ho tšoana le ho shebella monyako o le mong
7	ngoe	ngwe	a tlhokomelo ke boemo bo bulang tsela e ngoe le e ngoe.
7	fuoa	fuwa	"Hobane e mong o fuoa ka Moya lentsoe la bohlale, 'me e m
7	mohloling	mohloding	Limpho ha li tsoe mohloling o fapaneng oa matla. Li tla "k
7	Li	Di	li tsoe mohloling o fapaneng oa matla. Li tla "ka Moya o le mong oo" u ithutile
7	hlokomeloa	hlokomelwa	lisitseng ho tloha Thutong ea{{0}}1. Ho hlokomeloa haholo hore thuto e tiisa hor
7	ahloloe	ahlolwe	, eseng a ahloloe.
7	thehiloeng	thehilweng	lihlekehi tsa maikutlo le filosofi tse thehiloeng leshanong. Ha re ineheletse l
7	litokelo	ditokelo	limong. Rona joalo ka Bakreste re na le litokelo tseo re ka li phethahatsang" (p
7	khaotseng	kgaotseng	ta hobane tsohle li tsoa puisanong e sa khaotseng le Moya — ho utloa ke ntho e h
7	seholoanyane	seholwanyane	ete e tsoang kantle — eseng sehlopha se seholoanyane kapa lentsoe le tiisitsoeng
7	ntšang	ntshang	U se u itlwaeditse neo e le 'ngoe e ntšang holim'a molekane — lentsoe la tse
7	Seliba	Sediba	the Holy Spirit within you is for you.' Seliba se ka hare (Jn 4:14) se khotsofat
7	mochine	motjhine	opaki ba hore u haelloa ke tumelo, kapa mochine o tlamehang ho hlahisa sephetho
7	hlahisoa	hlahiswa	joalo — bala hape §1. Ishmaele o ile a hlahisoa 'ka ho leka ho etsa hore lentso
7	moamoheli	mwamohedi	leng le lokelang ho e amohela (L7; mme moamoheli o
7	tloaetse	tlwaetse	Sena se bolela hore Moya o Halalelang o tloaetse ho ipeha tlas'a sejana seo a se
7	litataiso	ditataiso	kela ho le fana ho e mong" (p.{{0}}71); litataiso tse nne tsa lentsoe la temoso
7	Tholoana	Tholwana	o paka le moya oa ea le amohelang. … 3. Tholoana ea lentsoe la boporofeta e tlam
7	Bileame	Bilyame	" (leq.{{0}}75). 'Me Bileame (Numeri 22–24) o ile a fumana ts
7	itšepang	itshepang	hao bao re ba tšepang ho feta kamoo re itšepang kateng"
7	litlhohonolofatso	ditlhohonolofatso	a ho Kreste, empa re ke ke ra arolelana litlhohonolofatso. Ho joalo ka motho ea
7	infilling	infilding	When God becomes one with man. When the infilling of the Holy Spirit takes place
7	folisa	fodisa	onngweng boo ho tswa ketso ("Yena o tla folisa, a rate, a bosetse, a fane, a bue
7	lelile	ledile	Thuto 51 · Terompeta e se e lelile
7	Litlotso	Ditlotso	Thuto 55 · Litlotso li le teng bakeng sa'ng
7	tšenolo	tshenolo	boprofeta, maemo, tlhaho, liphoofolo), tšenolo (lentsoe, litoro, lipono), le mo
6	litoro	ditoro	litoro
6	'Na	Nna	Thuto ea 2 · Ke Eena, kapa ke 'Na? — ho khetholla Moya ho moea oa hau
6	tataisoe	tataiswe	tataisoe
6	Boitšepo	Boitshepo	2) Boitšepo ke moo thato, maikutlo le mehop
6	tšabang	tshabang	Mme ena ke phomolo bakeng sa mothehi ea tšabang ho fosa:
6	lekiloeng	lekilweng	le bong: mamela tšusumetso e le 'ngoe e lekiloeng
6	koetlisang	kwetlisang	a maikutlo le mohla. Kutlo ke tloaelo e koetlisang tsebe.
6	khothatso	kgothatso	), kopa Moya ho hong ka eena — lintlha, khothatso, ho hong hoo a nyamelang ka ho
6	tšolloa	tshollwa	"Sefapanong kahlolo ea Molimo e ile ea tšolloa holim'a Jesu… Testamenteng e Nch
6	'moho	mmoho	haphametse ka bo bong feela; bo tsamaea 'moho le Lengolo, e 'ngoe le e 'ngoe e b
6	lijo	dijo	o ka thipa le foroko li sebelisoa ho ja lijo."
6	tšohile	tshohile	feta kapa ke mosa oa hau feela — kapa u tšohile hore le na le temoso eo u sa lok
6	rapeloa	rapelwa	rato, eseng ka tšabo le ka mohla, 'me e rapeloa pele e ka boleloa.
6	khetholang	kgetholang	"ea ikemiselitseng ho bolaea motho," ea khetholang o utloa moea o mobe, o bona "
6	tšosang	tshosang	e u tle u utloe. Kelello ke monghali ea tšosang empa e le mohlanka ea babatsehan
6	rapeloang	rapelwang	Maleme a botho, a rapeloang e le ho utloa
6	lithapelo	dithapelo	Matsatsing ana lithapelo tsa ka li shebane le ho sebeli
6	Sebelisa	Sebedisa	Sebelisa matla a sefapano
6	haelloa	haellwa	motho a sa fole, hase bopaki ba hore u haelloa ke tumelo kapa u "entse hampe" —
6	liphekolo	diphekolo	nthusa haholo hore ke se ke ka lebella liphekolo tsa hang-hang kamehla empa ke
6	itšetlehileng	itshetlehileng	bolela moo phekolo e 'ngoe le e 'ngoe e itšetlehileng teng: seo Jesu a se entsen
6	liphiri	diphiri	— ua rapela, 'me Moya o senola liphiri moeeng oa hau. Ho romela ho hong
6	tšoaroa	tshwarwa	tšoaroa
6	joaloka	jwaloka	sa tsamaellana: ho rapela ka leleme "ho joaloka phetoledi e fetolelang puo ea mo
6	boletsoe	boletswe	12:8–10 joale ke tsa hau. Eo e ntseng e boletsoe empa e-so be thuto ea eona ke
6	itokiselitse	itokiseditse	-na le tse ngata tse e-so sebelisoe, li itokiselitse bakeng sa mohala oa ho tiis
6	boletsoeng	boletsweng	1 Corinthians 12:8 · mpho ea pele e boletsoeng
6	ngoana	ngwana	o sebetsana le boemo — khoebo, lenyalo, ngoana, kapa qeto
6	khetho	kgetho	Khetha khetho e le 'ngoe ea 'nete eo u e tobane
6	bolokoa	bolokwa	Tloaelo ena e theha ntho e lokelang ho bolokoa: rekoto e ntseng e hola ea seo u
6	ngoloa	ngolwa	— 'me bopaki bo hloka ho ngoloa. Thuto ena e fetola mola oa hau o
6	boloa	bolwa	u nahanang hore ke sona se boleloang. E boloa e arohane le tlhaloso ka boomo — b
6	qobelloa	qobellwa	ka boikokobetso e le potso — eseng ho qobelloa. Thutong ea
6	tšebeletso	tshebeletso	oang teng 'me u rapelle motho ea u fang tšebeletso. Kopa Morena mantsoe a tsebo
6	qobelloe	qobellwe	, ha le qobelloe — 'me, hajoale, ha u sa le le f
6	Boitoanyong	Boitwanyong	Boitoanyong bona
6	boitoanyong	boitwanyong	a lebaka leo mohato o latelang o tsoang boitoanyong ba lekunutu o lebisang ho mo
6	utloelang	utlwelang	Ha u tsebe hore na seo u se utloelang molekane oa hau ke boporofeta
6	khotsofatsa	kgotsofatsa	or you.' Seliba se ka hare (Jn 4:14) se khotsofatsa lenyora la hau — bophelo ba
6	lira	dira	ela (harepa, thamboraine, lithothokolo, lira) 'me ke feela ka mor'a moo Moea o a
6	tlatsoe	tlatswe	a feela ke Moea ka hare, empa u boele u tlatsoe 'me u sebelisoe ke Moea holim'a.
6	ikutloang	ikutlwang	ka ea ka botebo ho neo e le 'ngoe eo u ikutloang u hohelehile ho eona. Ntlisets
6	lokolloa	lokollwa	Jesu kapa le hanyetsanang le Lengolo le lokolloa
6	builoeng	builweng	"Polelo e builoeng ka motsotso o tšoanelehang, e j
6	laoloa	laolwa	Moya oa moporofeta o laoloa ke moporofeta.
6	khalimelo	kgadimelo	oeng ka lentsoe le boima — temoso, kapa khalimelo? Vallotton o fana ka molao o h
6	buuoeng	buuweng	Thuto ea 35 · Ho ahlola lentsoe le buuoeng holim'a hau
6	nyelisa	nyedisa	"Le se ke la tima Moya. Le se ke la nyelisa ho porofeta.
6	litjhila	ditjhila	heke ea litjhila
6	amoheloang	amohelwang	kamoo limpho ka botsona li amoheloang le ho hola qalong
6	bapisoa	bapiswa	. Limpho li ka bapisoa le
6	loanela	lwanela	(Beershebe, ho loanela phallo e ncha, leq.{{0}}36–37),
6	thibetsoe	thibetswe	la phallo e ncha — se lule ha seliba se thibetsoe
6	tsoalo	tswalo	o fihlela a fihla sebakeng sa sebaka le tsoalo.
6	Bafilista	Bafidista	Bafilista ba neng ba li thibetse
6	rea	rya	ka mor'a lefu la Aborahame. 'Me a li rea mabitso ao ntat'ae a neng a li file
6	Mofilista	Mofidista	"Mofilista o bolela
6	khang	kgang	khang
6	calling	calding	different Anointing and calling
6	ntšepisa	ntshepisa	ba Molimo, Molimo o mpolella lintho. O ntšepisa bophelo bo bolelele mme
6	theiloe	theilwe	("Moya o Halalelang, u re'ng mona?"). E theiloe tlhalosong ea thuto ena ea ho ut
6	Tebeliso	Tebediso	le kahlolo ea hore na u khona ho utloa. Tebeliso e le 'ngoe e tsoang ho Thuto 7:
6	bokuli	bokudi	loeng oa sefapano: "Jesu o ile a shoela bokuli sefapanong joalo ka ha a shoetse
5	maponatšo	maponatsho	maponatšo
5	koetsoe	kwetswe	ng hang. Sebaka se khutsitseng, mahlo a koetsoe, khalemela bobe, lebisa tlhokome
5	'Mele	Mmele	'Mele oa hau, bophelo ba hau bo botle, l
5	bontše	bontshe	thamo ka botle 'me u kope Moya hore a u bontše hore na ke tsela efe eo a ratang
5	fuoang	fuwang	"Lentsoe la tsebo ke ho ba le tsebo e fuoang ke Moya o Halalelang le ho tseba
5	fumanoe	fumanwe	tseba — hore litonki tse lahlehileng li fumanoe, hore banna ba babeli ba tla mo
5	mali	madi	thapelo ea boemeli le ho tlisoa tlas'a mali a Jesu."
5	boleloa	bolelwa	seo hase seo se lokelang ho boleloa — ke letšoao la ho rapela.
5	ekelitse	ekeditse	U ekelitse mpho ea bobeli e lebisitsoeng k
5	khutsisang	kgutsisang	Thuto 8 · Mpho e khutsisang kelello
5	khutlisetsa	kgutlisetsa	Mpho ea bone ea thuto ena e khutlisetsa potoloho ea hau hae. Ho bua
5	khahlisa	kgahlisa	g… a se buang' — eseng ho ipaka kapa ho khahlisa.
5	itšepa	itshepa	unyelitseng moea: ho 'bolaya ____' — ho itšepa ha kelello haholo. (lentsoe le le
5	lisebelisoeng	disebedisweng	in different tongues" (pp.{{0}}50–52), lisebelisoeng tsa hau tse kentsoeng. Bal
5	kholoanyane	kgolwanyane	ng le bo bong bo sebetsa holim'a ntho e kholoanyane:
5	Kholo	Kgolo	atla a taolo a se e le a hau ho Kreste. Kholo ke ho ithuta ho a sebelisa.
5	litaelong	ditaelong	no boemong boo le ho tsepamisa maikutlo litaelong tsa Moya o Halalelang e le hor
5	itšetleha	itshetleha	u "entse hampe" — sephetho ha sea ka sa itšetleha ka tšebetso ea hau. Ka linako
5	khutla	kgutla	kamehla, empa ka linako tse ling u tla khutla u na le seo u se tšoereng 'me ka
5	koetlisetsoa	kwetlisetswa	atso e na le karolo e kholo… Kahoo u ka koetlisetsoa mehlolo. Empa u hloka ho ho
5	tšoarang	tshwarang	Ntle le motho eo oa bobeli ea a tšoarang, leleme ha le hahe motho leha e
5	botšepeng	botshepeng	o ke sa kang ka li bolela kaha ke phela botšepeng ba Hae letsatsi le letsatsi…"
5	qalile	qadile	U qalile ho ngola mola o le mong ka letsat
5	liphihlelo	diphihlelo	tsoang ho Moea o Halalelang ea ho ngola liphihlelo tsa ka le Molimo. Ke ngola bo
5	Likarolo	Dikarolo	Likarolo tsena li tsoa ho Kris Vallotton
5	papali	papadi	sheba papali hape
5	fanoang	fanwang	fanoang
5	holise	hodise	le kereke hantle-hantle e le hore re li holise hammoho:
5	bokhelohi	bokgelohi	Ba 'nete ka ho fetisisa — ho se na bokhelohi.
5	balloa	ballwa	temana e ts'oanang le ea Thuto ea 8 — e balloa joale tatellano ea eona. Maleme a
5	holima	hodima	holima
5	fetisoa	fetiswa	olim'a bona' — matla a holima hangata a fetisoa ka ho beoa matsoho.
5	ts'ebetso	tshebetso	se ne se se ka mohla se itshetlehile ho ts'ebetso ea hao. Tlhahlobo ea 'mele e e
5	leholimo	lehodimo	o phethahetseng" (p.{{0}}14), ha u kope leholimo hore
5	hoeletsa	hweletsa	Ho laela ha ho bolele ho hoeletsa kapa ho etsa lipapaditso, le ka
5	hoa	hwa	tiileng mme ka kgalemela ho ruruha, ha hoa etsahala letho. Ke ile ka e kgalemel
5	qotsoa	qotswa	Matthew 9:29 · joalokaha e qotsoa thutong
5	joalo'	jwalo'	'ea kutloisiso, phihlello, tumelo joalo-joalo' — mohau o sebetsa ka nako, eseng
5	mantsoeng	mantsweng	Ke hantle mantsoeng a tataisang moo re batlang ho
5	moholi	mohodi	. Ntle le meeling, nokana e fetoha moholi. Moholing, metsi hangata a etsa t
5	khutshwane	kgutshwane	ecomes a flood.' (lentsoe le le leng le khutshwane, le tswanang makhetlo ka bobe
5	lengoe	lengwe	O lengoe 'meleng oa 'nete oa balumeli — o
5	itsoanela	itswanela	! Re ke ke ra li fumana ka ho itsoanela… ha ho hlokahale hore re eme h
5	lithalenta	dithalenta	, 'me Jesu o e rutile ka setšoantšo sa lithalenta (Mattheu{{0}}25): bahlanka ba
5	hoeletse	hweletse	Ha ho hlokahale hore u hoeletse
5	like	dike	ak King James English, nor did He sound like Shakespeare" (leq.{{2}}70); tataiso
5	mokelikeli	mokedikedi	'Me ho na le mokelikeli o hulang ka lehlakoreng le le
5	thibetsoeng	thibetsweng	okhoni bo le bong: cheka hape seliba se thibetsoeng, 'me u tsoele pele ho ea Reh
5	tšoasoa	tshwaswa	qetellong o ile a tšoasoa ke maikutlo a hae le lintho tsa
5	line	dine	love, restore, provide, speak, bring in line with His truth etc."
5	Oli	Odi	tse nne. Oli e neng e phalla holim'a e mong le e
5	selikalikwe	sedikadikwe	— o fetola thapelo ya boelelo hore e be selikalikwe sa maikutlo seo o sa se laol
5	maholimong	mahodimong	etiswa ho tswa ho Saule ho ya ho Davida maholimong.
5	Tšepiso	Tshepiso	uoang la Moya o Halalelang).{{1}}(L43). Tšepiso ke
5	tebeliso	tebediso	na (Thuto 1); 'me tebeliso e le 'ngoe ha e khaotse — "u bo
5	ikutloela	ikutlwela	ka potso e tloaelehileng ho e leka — u ikutloela bana ba babeli, u "botsa feela
5	lisethefo	disethefo	... lisethefo li a
4	tšhoho	tshhoho	Katlolo, tšhoho, le khatello ke matšoao a lentsoe
4	litaba	ditaba	o kopanya bonolo mme o siea khotso. Mme litaba tse monate bakeng sa mothehi:
4	lutse	dutse	U lutse fatše, ua khutsa, mme ho hlaha ho
4	matšeliso	matshediso	a mme la u haha kapa la e-ba mohloli oa matšeliso ka khotso e sa tloaelehang e s
4	Khatello	Kgatello	Khatello {{0}} tšhoho?
4	tšepe	tshepe	"u sa tšepe motho kantle ho uena."
4	liphoofolo	diphoofolo	etso, batho ba bang, boprofeta, tlhaho, liphoofolo, maikutlo, kutlo ea 'mele, ma
4	koetlisitsoeng	kwetlisitsweng	bo koetlisitsoeng
4	tloaeleha	tlwaeleha	lentsoe le makatsang le beoa hae le sa tloaeleha.
4	koetlisa	kwetlisa	)? Ho arola sena matsatsing a mararo ho koetlisa temoho hantle ho feta ho lula n
4	liqetong	diqetong	loa Molimo khafetsa… mme u etse ka eona liqetong tsa sebele," le hore ho mamela
4	likotsi	dikotsi	Qala ka tse kholo mme u nke likotsi
4	lekoang	lekwang	boikokobetso mme ka mokhoa o ka lekoang
4	joana	jwana	bolellang letho?" — eseng "Morena o re joana." U ntse u tšoere molala oa
4	sebelisitseng	sebedisitseng	ang bo "kopa, ebe u itlwaetsa" boo u bo sebelisitseng lentsoeng la tsebo.
4	tšepo	tshepo	khothatso, matšeliso, pitso ea tšepo
4	Khetholla	Kgetholla	— "Ho Khetholla Meea", p.{{0}}49; Ephesians{{1
4	Meea	Meya	— "Ho Khetholla Meea", p.{{0}}49; Ephesians{{1}}6:12 joa
4	setšoantšong	setshwantshong	romelloang lefatšeng 'me e se fetolela setšoantšong" — "ha re rapela ka leleme
4	ts'oana	tshwana	šoantšong" — "ha re rapela ka leleme ho ts'oana le motoloki ea fetolelang puo ea
4	bochaba	botjhaba	Ho khahlisa bochaba bo u potolohileng
4	utloetseng	utlwetseng	khotso (Thuto 1). Joale ngola seo u se utloetseng, kapa hore feela u ile ua khu
4	khutlisetsoa	kgutlisetswa	— 'me ho khutlisetsoa hae,
4	litekanyo	ditekanyo	Batho ba bangata ba na le litekanyo tsa tumelo empa ba fokolang ke
4	lieroe	dierwe	. Ba sebete ke ba "ikemiselitseng ho ba lieroe tsa Kreste ha ba fositse" — ba ik
4	healing	hyading	Holy Spirit Course · p. 42 · Gifts of healing
4	tšoarelo	tshwarelo	Phekolo e teng ka lebaka le le leng le tšoarelo. Thuto e beha boloetse le sebe
4	tšoareloa	tshwarelwa	tsa etsahala. Libe tsa rona li ile tsa tšoareloa, maloetse a rona a ile a jaroa
4	maloetse	malwetse	la. Libe tsa rona li ile tsa tšoareloa, maloetse a rona a ile a jaroa ke Jesu… m
4	ngotsoe	ngotswe	Molao o se o ngotsoe. Potso ke ea
4	mochini	motjhini	e bua ka nnete e makatsang — sena hase mochini oa ho ts'episa hore ho tla khona
4	mofetše	mofetshe	"Ke ile ka rapella batho ba nang le mofetše ba ileng ba fola ka mokhoa oa mo
4	tšebetso	tshebetso	e" — sephetho ha sea ka sa itšetleha ka tšebetso ea hau. Ka linako tse ling that
4	lihora	dihora	se letsatsi le hlahlamang kapa ka mor'a lihora tse 'maloa. Joale ke ile ka makal
4	thea	thya	Ha ho joalo — bala §1 hape. Thuto e thea mpho ena ho John 5:19: mohlolo ke h
4	robeli	robedi	o u seng u atisitse ka eona. Limpho tse robeli tsa tse robong joale li matsohong
4	lecha	letjha	o, toro, batho ba bang." Ha ho letho le lecha leo u lokelang ho le haha. U
4	amohetsoeng	amohetsweng	o ea mohato o latelang o nepahetseng, e amohetsoeng ka tsela e tšoanang le tsohl
4	likhutlelo	dikgutlelo	a letsatsi le letsatsi ea ho mamela, le likhutlelo tse khuts'oane ho Eena letsat
4	khuts'oane	kgutshwane	etsatsi ea ho mamela, le likhutlelo tse khuts'oane ho Eena letsatsing lohle.
4	mekhutlelo	mekgutlelo	— nako e tsitsitseng ea ho mamela, le mekhutlelo e mengata e menyenyane ho Een
4	lekoe	lekwe	kile ka ho lekana hore le tsamaisoe, le lekoe, le sebelisoe hamorao. Tloaelo ea
4	fumanoeng	fumanweng	la" boo mosebetsi oa hau o o kopang, bo fumanoeng eseng bo inahanetsoeng feela.
4	value	vadue	value
4	hajoale	hajwale	, ha le qobelloe — 'me, hajoale, ha u sa le le fana ka lona ka l
4	kenngoa	kenngwa	. Ka molekane, boikarabello boo bo kenngoa ho tloha qalong.
4	holisang	hodisang	neo e tiee, feela joalo ka boitoanyo bo holisang "boitsetseho… le… nepahalo"
4	ahlotsoe	ahlotswe	bana ba bararo ka 'nete? Boporofeta bo ahlotsoe ka tekanyo e fapaneng, 'me teka
4	arolelanoang	arolelanwang	, ka hare ho boteng bo arolelanoang. 'Me e 'ngoe ea matla ao u
4	koalang	kwalang	ea tloaelo; ho e bala hape ke karolo e koalang tsela.
4	nkoa	nkwa	, ha lea ka la nkoa feela — tlhahlobo e tswanang e mera
4	Cheka	Tjheka	Cheka gauda,
4	reretsoeng	reretsweng	bo eona e supa lefifi leo boporofeta bo reretsoeng ho le roba:
4	'matla	mmatla	✓ Nepile — p. 14. O se o na le 'matla a molao a hore re ka phekoloa'; b
4	tiisitsoe	tiisitswe	ka boomo u lokolle sephetho: "Tokelo e tiisitsoe; nako le 'lintlha tse fapa-fap
4	liehileng	diehileng	lentsoe le molemo leo moelelo oa lona o liehileng feela) — empa ho
4	liapole	diapole	liapole tsa khauta pitsaneng ea silefera
4	busoa	buswa	"Meya ea baporofeta e busoa ke baporofeta" (1{{0}}Cor{{1}}14:3
4	Litataiso	Ditataiso	Litataiso tse hlano — heke ea hau
4	lihele	dihele	pelo e tsoang lihele
4	tšabise	tshabise	Ha a tšabise
4	kalimelo	kadimelo	kalimelo, eseng kotlo
4	Life	Dife	Life Application
4	liqeto	diqeto	feela empa bophelo ba bona bo lohane le liqeto tsa bona"; ba
4	ntšoarele	ntshwarele	— "ntšoarele"
4	Liliba	Diliba	Thuto 41 · Ho Cheka Hape Liliba
4	thibeloa	thibelwa	mano ea hau le Moya o Halalelang, se ka thibeloa
4	hlapantsoeng	hlapantsweng	ba se tebileng ka ho fetisisa ke kano e hlapantsoeng sefapanong. Kahoo u cheka h
4	tšepisong	tshepisong	g sefapanong. Kahoo u cheka hape u tsoa tšepisong e se e hlapantsoeng, eseng ho
4	huloa	hulwa	, e nngwe le e nngwe e huloa ka nako ya yona.
4	hulile	hudile	3. O hulile "porofeta letsatsi la hao." O e l
4	atolositsoeng	atolositsweng	honi bo le bong: etsa sete e kopaneng e atolositsoeng, u qale ka e fomahetseng
4	fetoletsoe	fetoletswe	2 Bakorinthe 1:20 · joalo ka ha e fetoletsoe ho Holy Spirit Course, leq. 3
4	botsofali	botsofadi	botsofali ba moea ba motho ea rapelang
4	romelloa	romellwa	ho romelloa
4	Tšebetso	Tshebetso	kana ea boprofeta (Tlhaloso · Moelelo · Tšebetso · Phethahatso)
4	holileng	hodileng	motho ea holileng ka
4	Liproverbia	Diproverbia	" (Liproverbia 25:11, letl. 69). Linnete ts
4	lokolloang	lokollwang	Mohau holim'a mohau (tlotso e lokolloang ka tekanyo · logos le rhema)
3	tsoetsoeng	tswetsweng	Mokreste e mong le e mong ea tsoetsoeng hape ka 'nete o na le potso e
3	limphong	dimphong	amanong e phelang le Moya o Halalelang, limphong tsa Hae, le ho utloeng lentsoe
3	utloeng	utlweng	a o Halalelang, limphong tsa Hae, le ho utloeng lentsoe la Molimo. Tsohle tse th
3	'neteng	nneteng	le tataisa 'neteng eohle
3	kholiseha	kgodiseha	Haeba u sa kholiseha hore Molimo o teng kapa u se M
3	hloekisa	hlwekisa	Molimo a batlang hore u se tsebe, ha u hloekisa kelello ea hau.
3	Litlhahlobo	Ditlhahlobo	Litlhahlobo tse tharo tse potlakileng li
3	peace	pyace	peace
3	Letšoao	Letshwao	Haeso — §3. Letšoao la lentsoe la Hae ke seo a se si
3	liketso	diketso	tla shoa; empa haeba ka Moya le bolaea liketso tsa 'mele, le tla phela. Hobane
3	litlhahiso	ditlhahiso	1) Bobe bo tla tlisa liteko, litlhahiso, mehopolo e bohloko ea nakong
3	likarabo	dikarabo	. Lentsoe la Molimo le fana ka bophelo, likarabo le bohlale. Le ka fana ka mehop
3	mecha	metjha	bo le bohlale. Le ka fana ka mehopolo e mecha mme la u haha kapa la e-ba mohloli
3	kholisa	kgodisa	, bohlale ba botho — o ne o utloahala o kholisa. Empa e ne e s'a ka eaba ke Moli
3	Matšoao	Matshwao	Matšoao a mararo a potlakileng — le phom
3	boikhohomoso	boikgohomoso	molao le boikhohomoso
3	fetoa	fetwa	ntsoe" le le leng le makatsang — 'me ba fetoa ke litsela tse ngata tse tloaelehi
3	libuka	dibuka	tlo, kutlo ea 'mele, maemo, Lengolo, le libuka le theknoloji "ha u tsepamisitse
3	khonang	kgonang	hore e fete. Ke ka lebaka lena thuto e khonang ho khothaletsa sebete le hlokolo
3	moromuoa	moromuwa	a ho ithuta thuto ea bomodimo kapa u be moromuoa empa ho bolela kutlo moo u leng
3	utloahetse	utlwahetse	mor'a moo, ngola hore na ho e mamela ho utloahetse joang le sephetho leha e le s
3	khothatse	kgothatse	ba ahe, a ba khothatse le ho ba tšelisa
3	etselitsoe	etseditswe	nang ho Moya o Halalelang o leng mobe o etselitsoe thapelo ea boemeli le ho tlis
3	tšisinyeho	tshisinyeho	e Ncha ea utloang ho hong ho lefifi — "tšisinyeho ea lefatše e e-tla sebakeng s
3	matichere	matitjhere	"…matichere a Mangolo a lokela ho inehelet
3	khetholle	kgetholle	"Ho hlokahala hore re khetholle meea e le hore re se ke ra oel
3	tšabo'	tshabo'	etse — p. 49. Mpho ena 'ha e sebetse ka tšabo'; e sebetsa 'ka pelo ea lerato ho
3	bokhoning	bokgoning	, bokhoning ba mantlha:
3	rutoa	rutwa	bua ka maleme a mang eo ba sa kang ba a rutoa bakeng sa evangeli" (p.{{0}}50), j
3	satellite	sateldite	Setšoantšo sa satellite dish.
3	linaha	dinaha	bona. Ba bang ba na le tumelo bakeng sa linaha. … Ba bang ba lumela Molimo baken
3	ikutloe	ikutlwe	la" (p.{{0}}41). Ha ho hlokahale hore u ikutloe u e-na le sebete ka tlhaho ea ha
3	sea	sya	Ha ho joalo — bala §3 hape. Sebete sea hlokahala, empa le bohlale bo a hlok
3	fumanoang	fumanwang	Bonnete, bo fumanoang pele ho kotsi leha e le efe
3	lisupo	disupo	hehile sena taelong ea Jesu ka boeena — lisupo tse latelang balumeli ba tloaeleh
3	jaroa	jarwa	tsa tšoareloa, maloetse a rona a ile a jaroa ke Jesu… mademona ohle a ile a hlo
3	lesholu	leshodu	phihlelo. Lepolesa le secha le lelekisa lesholu 'me lesholu la le fetela ka lebe
3	nea	nya	ea ba kulang ho feta ba bang" — empa e nea sebaka "keketseho ea kutloisiso, phi
3	khethang	kgethang	meng. Ke ho utloa, sebakeng seo Ntate a khethang ho sebetsa ho sona.
3	Lisebelisoa	Disebediswa	tse nepahetseng lefatšeng ka bophara." Lisebelisoa tsa hau tse kentsoeng li tso
3	hlalositsoe	hlalositswe	(le hlalositsoe hanyenyane Thutong{{0}}5 emp
3	bonoa	bonwa	ello ka mor'a moo" ho tsoa Thutong 8, e bonoa ho tsoa lehlakoreng la ho amohela:
3	kentsoe	kentswe	etela Molimo ka Sontaha feela; phela u kentsoe sefateng sa morara beke eohle. L
3	liketsahalo	diketsahalo	Hlokomela: ha a hlalose liketsahalo tse sa tloaelehang tsa holim
3	bileditsoeng	bileditsweng	si le letsatsi ke seo re le Bakreste re bileditsoeng sona."
3	khutlelang	kgutlelang	Tsebe e khutlelang ho Eena khafetsa
3	hahiloeng	hahilweng	mola oa hau o le mong hore e be diari e hahiloeng bakeng sa tlhahlobo.
3	beiloeng	beilweng	." Lentsoe le beiloeng leqepheng ke lentsoe le entsoen
3	boikoahliso	boikwahliso	ho ngola — 'me o ile a tlameha ho hlola boikoahliso boo le uena u ka bang le bon
3	tsoakanya	tswakanya	. Ho li tsoakanya ke tsela eo maikutlo a manyeny
3	lilemong	dilemong	Meputso e tsoang lilemong tsa bona tse molemo ka ho fetis
3	libeke	dibeke	Hang ha u e-na le libeke tse 'maloa tsa likemello, mohato
3	liitoanyo	diitwanyo	lisebelisoang tseo u li kentseng. Bala liitoanyo tsa boitoanyo 'me u shebe foro
3	tsoelo	tswelo	a sebetse ho eona ka boomo — e le hore tsoelo-pele e bonahale. Boitoanyo hase n
3	tšehetsa	tshehetsa	eng sesupo sa ho ema — 'me Mangolo a se tšehetsa: Molimo o u file "e seng moea o
3	tšela	tshela	eo u ileng ua e utloa Thutong ea 9 — ho tšela poifo u kene kotsing e nyenyane, e
3	hlophisitsoe	hlophisitswe	o Vallotton a e fanang. E bale butle; e hlophisitsoe hore u ka itlwaetsa neo eo
3	litšireletso	ditshireletso	Ho na le litšireletso tse peli tse etsang hore bo
3	lekhetlo	lekgetlo	umane ho nepahala (kapa ho fosahala) ka lekhetlo la pele bekeng ena? Mpolelle; k
3	khaolong	kgaolong	hahiso ea boraro ea Vallotton, e tsoang khaolong e le 'ngoe eo u seng u e itlwae
